# epoch	M	Omega_L	Omega_M	H_natural
early	1e+29	3.3333333333333337e-59	1.0	3.3333333333333337e-59
today	1.7320508075688774e+30	1.1111111111111109e-61	1.0	1.1111111111111109e-61
late	5e+30	1.3333333333333334e-62	1.0	1.3333333333333334e-62
